Sample	ndiff	n_resolved	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH
0	0	0	joint	-149908.2892817753	joint	-4780000158168.768	None	0
1	20	7108	joint	-154089.9458583719	joint	-27260000151933.16	None	0.0
2	2	1209	joint	-153940.53482805996	joint	-27830000151790.51	None	0.0
3	4	316	joint	-153926.71361634374	joint	-27820000151779.87	None	0.0
4	0	52	joint	-153920.40734250186	joint	-27680000151772.74	None	0.0
5	0	15	joint	-153919.81476890697	joint	-27680000151772.37	None	0.0
6	0	4	joint	-153919.7822568068	joint	-27680000151772.344	None	0.0
7	0	2	joint	-153919.87254230777	joint	-27680000151772.48	None	0.0
8	0	0	joint	-153919.87254230777	joint	-27680000151772.48	None	0.0
