Sample	ndiff	n_resolved	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH
0	0	0	joint	-149862.995100747	joint	-4920000158480.156	None	0
1	18	7128	joint	-154102.35423412564	joint	-27440000151974.316	None	0.0
2	2	1197	joint	-153942.7511227795	joint	-28040000151822.32	None	0.0
3	0	344	joint	-153927.9457653094	joint	-28040000151808.1	None	0.0
4	0	62	joint	-153926.62944944913	joint	-28060000151807.42	None	0.0
5	0	5	joint	-153926.25788421772	joint	-28060000151807.41	None	0.0
6	0	1	joint	-153926.27307153307	joint	-28060000151807.406	None	0.0
7	0	0	joint	-153926.27307153307	joint	-28060000151807.406	None	0.0
