Sample	ndiff	n_resolved	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH
0	0	0	joint	-149843.24582491492	joint	-4830000158259.95	None	0
1	18	7134	joint	-154060.70990346634	joint	-27380000151937.92	None	0.0
2	0	1188	joint	-153885.62471252348	joint	-27610000151769.15	None	0.0
3	0	320	joint	-153875.05665565404	joint	-27590000151759.53	None	0.0
4	0	50	joint	-153873.84658757225	joint	-27590000151758.676	None	0.0
5	0	8	joint	-153873.85749080422	joint	-27590000151758.65	None	0.0
6	0	1	joint	-153873.85687995423	joint	-27590000151758.65	None	0.0
7	0	0	joint	-153873.85687995423	joint	-27590000151758.65	None	0.0
