#name, A, B
EPI_ISL_71282|246812|A/New_York/6607/2009|P0|2009-11-24, 1.0, 0.0
EPI_ISL_74120|254738|A/California/VRDL84/2009|P0|2009-10-09, 1.0, 0.0
NODE_0000396, 0.9999999207093128, 7.929068723015031e-08
EPI_ISL_70779|245572|A/San_Diego/INS35/2009||2009-10-26, 1.0, 0.0
NODE_0000210, 0.9999999817535186, 1.8246481348260916e-08
EPI_ISL_76712|270415|A/California/VRDL107/2009|P0|2009-11-15, 0.9999999999999999, 0.0
NODE_0000211, 0.9999999843097528, 1.5690247114031373e-08
EPI_ISL_76905|271459|A/Pensacola/INS213/2009|P0|2009-11-17, 1.0, 0.0
NODE_0000212, 0.999999996467848, 3.5321521117351715e-09
NODE_0000874, 0.9999999933525239, 6.6474762951785805e-09
EPI_ISL_76720|270479|A/California/VRDL115/2009|P0|2009-12-04, 1.0, 0.0
EPI_ISL_71959|250026|A/Maryland/04/2010|C1|2010-02-08, 1.0, 0.0
NODE_0000214, 0.9999999997879042, 2.1209585039853822e-10
EPI_ISL_74146|254946|A/New_York/6939/2009|P0|2009-12-11, 1.0, 0.0
NODE_0000215, 0.9999999999802525, 1.9747536659914022e-11
EPI_ISL_75122|258534|A/California/VRDL87/2009|P0|2009-10-09, 1.0, 0.0
NODE_0000221, 0.9999999996460502, 3.53949573130853e-10
EPI_ISL_71494|247705|A/New_York/5447/2009||2009-10-23, 1.0, 0.0
EPI_ISL_75116|258486|A/California/VRDL101/2009|P0|2009-11-05, 0.9999999999999999, 0.0
NODE_0000069, 0.9999996807247148, 3.1927528523798596e-07
EPI_ISL_61296|212745|A/New_York/3577/2009||2009-05-19, 1.0, 0.0
NODE_0000070, 0.9999999913421888, 8.657811288847673e-09
NODE_0000863, 0.9999999978757124, 2.1242876599626584e-09
EPI_ISL_62677|218986|A/Wisconsin/629-D02263/2009|P0|2009-06-12, 1.0, 0.0
EPI_ISL_62642|218706|A/Wisconsin/629-D00724/2009|P0|2009-06-01, 1.0, 0.0
NODE_0000074, 0.9999999986218608, 1.3781391494699293e-09
NODE_0000883, 0.9999998249652621, 1.750347378553404e-07
EPI_ISL_32026|221160|A/South_Carolina/13/2009|C2|2009-05-01, 0.9999999999999999, 0.0
NODE_0000201, 0.9999999999282059, 7.179413713100979e-11
NODE_0000202, 0.9999999999995097, 4.901686081176344e-13
EPI_ISL_30706|194197|A/Missouri/01/2009|C1|2009-04-27, 1.0, 0.0
EPI_ISL_30698|181751|A/South_Carolina/10/2009|E2|2009-04-26, 1.0, 0.0
NODE_0000203, 0.9999999999950955, 4.90436731869307e-12
EPI_ISL_29958|178414|A/South_Carolina/09/2009|C1|2009-04-26, 1.0, 0.0
NODE_0000204, 0.9999999999828371, 1.7162948784827263e-11
EPI_ISL_30719|181820|A/South_Dakota/05/2009|C1|2009-04-30, 1.0, 0.0
NODE_0000205, 0.9999999997240258, 2.759741387403787e-10
EPI_ISL_61312|212873|A/New_York/3709/2009||2009-05-28, 1.0, 0.0
NODE_0000207, 0.9999999999995063, 4.936584531911089e-13
EPI_ISL_30712|181800|A/Missouri/03/2009|C1|2009-05-04, 1.0, 0.0
EPI_ISL_31171|194158|A/Idaho/03/2009|C1|2009-05-05, 1.0, 0.0
NODE_0000404, 0.9999999402068482, 5.979315184395866e-08
EPI_ISL_60800|211429|A/Illinois/10/2009|C4|2009-07-31, 1.0, 0.0
NODE_0000406, 0.9999999296590136, 7.034098622708523e-08
EPI_ISL_32016|185390|A/California/19/2009|C1|2009-04-30, 1.0, 0.0
NODE_0000414, 0.9999999355350859, 6.446491409549072e-08
NODE_0000887, 1.0, 5.292398901252269e-19
EPI_ISL_63950|224136|A/Houston/10H/2009|harvest-Rh1|2009-05-13, 1.0, 0.0
EPI_ISL_62455|217455|A/Houston/1OS/2009||2009-05-13, 1.0, 0.0
EPI_ISL_63949|224128|A/Houston/10OS/2009||2009-05-13, 1.0, 0.0
NODE_0000224, 0.9999999998359428, 1.6405725813998107e-10
NODE_0000227, 0.9999999999812114, 1.8788759726946848e-11
NODE_0000229, 0.9999999999995107, 4.892626400808867e-13
EPI_ISL_62457|217471|A/Houston/9OS/2009||2009-05-21, 1.0, 0.0
EPI_ISL_63946|224104|A/Houston/7OS/2009||2009-05-21, 1.0, 0.0
NODE_0000230, 0.9999999999995107, 4.892626400808867e-13
EPI_ISL_63948|224120|A/Houston/9H/2009|harvest-Rh1|2009-05-21, 1.0, 0.0
EPI_ISL_63947|224112|A/Houston/7H/2009|harvest-Rh1|2009-05-21, 1.0, 0.0
NODE_0000231, 0.999999999990791, 9.208863397977021e-12
NODE_0000232, 0.9999999999965361, 3.4639236021828086e-12
NODE_0000233, 0.999999999999511, 4.890007079453677e-13
EPI_ISL_63940|224056|A/Houston/3OS/2009||2009-05-18, 1.0, 0.0
EPI_ISL_63943|224080|A/Houston/5H/2009|harvest-Rh1|2009-05-19, 1.0, 0.0
