Sample	ndiff	n_resolved	seq_mode	seq_LH	pos_mode	pos_LH	coal_mode	coal_LH
0	0	0	joint	-149868.0123097685	joint	-4820000158294.186	None	0
1	18	7137	joint	-154092.2469258383	joint	-27300000151969.27	None	0.0
2	0	1185	joint	-153927.39667649794	joint	-27580000151810.77	None	0.0
3	0	323	joint	-153916.3073348109	joint	-27550000151800.734	None	0.0
4	0	50	joint	-153915.1041903182	joint	-27540000151799.742	None	0.0
5	0	6	joint	-153915.33462969557	joint	-27560000151799.867	None	0.0
6	0	1	joint	-153915.33456859534	joint	-27560000151799.863	None	0.0
7	0	0	joint	-153915.33456859534	joint	-27560000151799.863	None	0.0
